order_id,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order
1363380,50,1,3,9,
3131103,50,2,6,12,10
2197066,50,3,1,13,9
3201640,50,4,0,11,6
2756806,50,5,4,14,11
1905727,50,6,2,10,5
357849,50,7,3,13,8
1673791,50,8,6,14,3
1941871,50,9,4,11,5
1431607,50,10,2,10,5
935755,50,11,6,9,4
771250,50,12,3,18,4
218647,50,13,6,14,10
482971,50,14,4,11,5
1261865,50,15,2,10,5
2102570,50,16,1,8,13
1856643,50,17,2,15,8
2199859,50,18,1,10,6
505360,50,19,3,11,2
2829245,50,20,1,10,5
1077695,50,21,1,13,14
3067010,50,22,1,12,7
458687,50,23,6,17,5
536094,50,24,3,10,4
886814,50,25,2,11,6
1291785,50,26,1,13,6
1182191,50,27,5,7,11
2333885,50,28,2,10,4
3112215,50,29,3,11,1
3276486,50,30,3,12,7
2870447,50,31,2,11,6
623555,50,32,2,12,7
2443843,50,33,5,7,10
867561,50,34,0,22,2
2049647,50,35,4,11,4
2981401,50,36,1,11,4
2425696,50,37,4,15,3
1177903,50,38,1,7,4
2885215,50,39,6,10,5
3285176,50,40,3,9,4
1158241,50,41,0,16,4
131991,50,42,2,10,2
1237400,50,43,6,9,4
3014513,50,44,2,11,3
1368931,50,45,1,12,6
1076291,50,46,3,7,2
412136,50,47,2,11,6
1939933,50,48,0,10,5
3147929,50,49,5,8,5
2018336,50,50,1,11,3
1229178,50,51,5,10,11
3044151,50,52,1,9,3
3330597,50,53,3,11,2
642111,50,54,6,10,3
3205359,50,55,1,10,2
182020,50,56,0,13,6
636918,50,57,5,12,5
2670599,50,58,3,10,5
2236363,50,59,1,11,5
2757345,50,60,2,12,1
1915162,50,61,5,11,3
373535,50,62,2,11,4
3175017,50,63,6,10,4
309687,50,64,2,12,10
2740653,50,65,1,13,6
2107003,50,66,4,11,3
103726,50,67,3,9,6
1750084,50,68,3,9,7
2497897,52,1,1,9,
1318871,52,2,1,10,7
1261384,52,3,1,10,7
2100631,52,4,1,11,7
580568,52,5,2,10,8
1680554,52,6,1,13,6
2428073,52,7,2,7,8
1551977,52,8,1,10,6
342306,52,9,1,11,7
1520353,52,10,2,10,8
2542086,52,11,2,9,7
944694,52,12,1,16,6
2906390,52,13,1,10,7
1838593,52,14,1,13,7
1268191,52,15,2,11,8
2331002,52,16,3,11,8
1122089,52,17,2,10,6
1498922,52,18,2,10,14
180919,52,19,3,8,8
3146572,52,20,1,13,5
2695875,52,21,5,10,30
1307894,52,22,1,9,10
1856103,52,23,1,13,7
1030102,52,24,2,9,8
3306717,52,25,1,10,13
2127348,52,26,5,13,18
1588305,52,27,1,8,10
1647290,52,28,4,16,3
1583644,65,1,0,9,
3253911,65,2,0,9,7
1422896,65,3,0,10,14
3003586,65,4,1,13,1
1625976,65,5,5,14,4
2133732,65,6,6,15,15
1999119,65,7,0,15,1
225812,65,8,1,12,29
2843095,65,9,2,10,8
3029625,65,10,1,8,6
692225,65,11,4,9,30
2630919,65,12,4,8,7
2028484,65,13,4,15,14
864720,65,14,2,9,30
1072954,65,15,6,17,30
1331103,80,1,2,6,
2122341,80,2,2,16,21
2875845,80,3,0,16,12
338550,80,4,1,10,8
3348165,80,5,6,15,5
1141480,80,6,0,13,8
3276030,80,7,5,12,12
1631228,80,8,3,15,12
1506191,80,9,2,8,6
2434894,80,10,1,15,6
3090438,80,11,2,13,8
2001654,80,12,1,9,6
2178718,80,13,2,8,8
3134619,220,1,6,12,
503795,220,2,0,19,30
3100118,220,3,0,15,30
629371,220,4,0,10,7
795873,220,5,0,9,14
2858685,220,6,0,14,7
695889,220,7,1,7,8
703741,220,8,0,10,6
220391,220,9,0,18,14
846132,220,10,0,19,30
1084407,220,11,1,16,22
1931857,220,12,6,16,19
3094258,220,13,0,15,8
1220538,220,14,1,16,8
123251,220,15,0,17,30
1753137,220,16,0,14,28
1848434,220,17,3,4,30
2591231,245,1,0,10,
414154,245,2,6,16,30
533946,245,3,4,15,30
1689959,245,4,0,13,30
974066,245,5,2,12,30
2624849,245,6,1,22,20
2977050,253,1,1,15,
1387711,253,2,4,18,3
3031137,253,3,2,18,30
2727415,253,4,5,12,3
2780275,256,1,6,16,
1631579,256,2,2,19,10
3415986,256,3,0,16,12
2644258,256,4,5,17,26
1407281,256,5,5,14,14
792784,256,6,0,17,9
1509722,256,7,0,16,30
2352498,256,8,2,18,23
3153865,256,9,0,13,30
2507329,256,10,5,18,5
301638,256,11,0,17,23
2254606,256,12,1,15,8
2381889,256,13,4,17,10
750381,256,14,1,12,30
2755768,256,15,4,17,30
2566673,256,16,5,9,8
425266,256,17,1,17,17
605341,256,18,0,18,13
961500,256,19,0,11,28
600006,280,1,1,7,
337705,280,2,6,12,5
1408392,280,3,2,12,3
369277,280,4,0,13,5
2390248,280,5,0,19,7
192713,280,6,3,20,3
293977,280,7,0,18,4
1367519,280,8,0,21,7
2187982,280,9,1,20,8
2321829,280,10,2,19,8
1147426,280,11,0,20,12
3190709,280,12,0,20,7
2056245,280,13,1,13,8
385588,280,14,0,16,6
3290888,280,15,0,21,7
1915178,280,16,5,18,5
84755,280,17,1,18,3
3312278,280,18,0,21,6
975103,280,19,0,20,7
1820003,280,20,0,16,7
2589495,280,21,1,18,15
2176967,280,22,1,21,7
1937608,280,23,0,14,6
2971971,280,24,0,20,7
662948,280,25,1,10,8
34705,280,26,6,20,5
2336316,280,27,3,19,11
747158,280,28,0,20,4
565881,280,29,3,11,3
1162908,280,30,0,19,4
998908,280,31,4,9,11
1976770,280,32,2,18,5
1634550,280,33,1,19,6
257511,280,34,0,14,13
757728,280,35,2,8,30
927986,280,36,1,14,6
2554434,280,37,0,20,30
1918847,280,38,5,9,5
2461317,280,39,3,21,19
407277,280,40,1,21,5
648573,280,41,0,19,27
3059590,280,42,1,6,8
530599,314,1,2,9,
2246184,314,2,1,15,30
1111958,314,3,3,11,9
893624,314,4,4,12,30
906488,314,5,4,11,30
877974,314,6,4,11,30
2951970,330,1,2,10,
1704589,330,2,1,10,30
1305464,330,3,4,9,30
205133,330,4,4,12,21
919014,330,5,5,16,29
1785284,330,6,3,15,30
3253378,330,7,4,18,30
2147369,330,8,3,17,6
786762,359,1,1,12,
1640387,359,2,1,16,30
2810446,359,3,1,16,30
871648,359,4,4,15,30
2248934,359,5,4,18,7
3135251,359,6,2,19,30
358525,359,7,3,17,8
332546,359,8,2,18,6
3112883,359,9,4,12,30
1591122,359,10,2,16,5
3390392,359,11,4,19,9
1332420,359,12,3,16,27
1633041,359,13,4,14,22
2218280,359,14,2,17,5
2403255,359,15,2,16,21
2908855,359,16,1,15,6
3044360,387,1,3,13,
1927023,387,2,4,10,22
812338,387,3,2,12,5
3124616,387,4,5,16,3
1036769,387,5,2,15,4
1964382,387,6,5,11,10
1333154,387,7,1,13,10
3255409,387,8,2,9,8
1910258,387,9,4,10,30
2531468,396,1,0,17,
308467,396,2,1,17,8
2546833,396,3,1,16,7
704914,396,4,2,9,22
13107,396,5,0,13,5
1926210,396,6,2,11,9
532712,396,7,0,17,5
3240796,396,8,0,19,14
1668015,396,9,0,12,14
504195,396,10,1,9,30
1272452,396,11,0,10,13
392005,396,12,2,19,16
3375628,396,13,1,20,6
3114662,396,14,2,19,15
2199547,396,15,0,13,5
370527,396,16,0,16,14
3197818,396,17,1,8,30
398305,396,18,0,15,30
445900,396,19,1,6,30
1969222,399,1,5,14,
1555203,399,2,3,14,12
1009124,399,3,4,15,8
2950974,399,4,1,15,18
942516,419,1,2,13,
1859331,419,2,1,13,27
1736060,419,3,1,12,7
2367230,419,4,1,12,28
3339412,419,5,1,12,7
2559863,419,6,1,12,14
1913631,419,7,1,13,7
2835197,419,8,1,12,7
501982,419,9,1,14,14
3109261,419,10,2,12,15
2867582,419,11,4,11,9
681098,419,12,1,12,4
1966310,419,13,1,12,7
2068989,419,14,1,13,7
1404772,419,15,1,13,7
2650636,419,16,1,12,7
2254897,419,17,1,16,7
3107983,419,18,1,14,7
2745332,419,19,1,12,7
1348429,419,20,1,12,7
2039943,419,21,1,12,7
268986,419,22,1,13,7
1371896,419,23,1,12,7
3410306,419,24,1,13,7
1449813,419,25,1,12,21
166045,480,1,5,12,
2051828,480,2,2,7,4
654686,480,3,0,9,5
1298885,480,4,2,16,2
940583,480,5,0,10,5
2655670,480,6,4,14,4
3013118,480,7,2,22,5
2003014,480,8,0,21,5
3186283,480,9,3,21,3
3172522,480,10,1,17,5
427463,480,11,6,22,5
2979923,480,12,1,19,2
1039817,480,13,5,13,4
282081,544,1,6,17,
2837449,544,2,4,10,19
1326817,544,3,3,18,13
958184,544,4,3,10,30
2063685,544,5,4,16,1
1670905,667,1,6,17,
2762221,667,2,2,13,3
893513,667,3,3,12,1
18504,667,4,5,20,2
874723,667,5,3,15,5
1203191,667,6,4,16,1
2186591,667,7,6,15,2
1832306,667,8,2,16,3
146701,667,9,4,16,2
897559,667,10,1,13,4
1274799,667,11,5,17,4
1253972,667,12,0,12,2
1344769,667,13,4,12,4
754191,667,14,0,18,3
2244373,667,15,3,16,3
2153965,667,16,5,13,2
27736,667,17,1,9,3
411372,667,18,3,18,2
517571,667,19,6,17,3
954460,667,20,2,11,3
1758272,667,21,6,14,4
1410162,667,22,3,10,4
2504689,667,23,6,18,3
348313,667,24,2,10,3
1041907,667,25,0,9,5
3352451,667,26,4,19,4
2401737,667,27,2,11,5
2545216,667,28,6,10,4
925561,667,29,4,10,5
186497,667,30,1,10,4
1120717,667,31,6,19,5
2825333,667,32,2,17,3
352758,667,33,0,9,5
1332119,667,34,4,19,4
366651,667,35,0,14,3
3380223,667,36,1,10,8
665110,667,37,6,11,5
170226,667,38,2,16,3
366438,667,39,2,9,7
1644521,667,40,0,13,5
3086069,667,41,0,11,7
3233285,667,42,4,16,4
464909,667,43,4,11,7
609538,667,44,3,9,6
599147,667,45,2,8,6
527711,667,46,5,11,3
2046580,667,47,1,10,3
1414769,667,48,1,20,7
406926,667,49,5,12,4
2960478,667,50,2,17,4
3043315,667,51,0,10,5
2475364,667,52,3,12,3
2195981,667,53,0,10,4
1776381,667,54,4,17,4
3308128,667,55,1,13,4
106643,667,56,3,15,2
1794518,667,57,3,11,7
2693492,667,58,5,21,2
701757,667,59,0,12,9
1970630,667,60,5,17,5
67209,667,61,1,13,3
522225,667,62,5,14,4
1875099,667,63,2,14,4
2058878,667,64,0,9,5
1758756,667,65,5,13,5
2495312,667,66,2,12,4
921145,667,67,1,14,6
2845264,667,68,6,12,5
509033,667,69,3,11,18
2731529,667,70,6,12,10
3151159,667,71,2,12,3
979121,667,72,4,21,16
2643081,667,73,2,11,5
292292,667,74,5,17,3
1647809,667,75,1,16,3
812040,667,76,0,13,6
387136,716,1,5,15,
3211242,716,2,4,8,6
2036596,716,3,5,15,22
3323696,716,4,2,18,11
67479,716,5,3,21,8
2545159,743,1,1,16,
2687203,743,2,0,17,13
1094622,743,3,0,14,30
1772634,743,4,0,16,7
780255,743,5,4,11,4
60905,743,6,2,17,26
1466812,775,1,0,11,
3412115,775,2,0,6,7
3378244,775,3,3,18,30
32214,775,4,0,12,30
996767,775,5,0,17,21
1391444,775,6,0,8,7
1831559,775,7,5,17,19
